******** CONFIGURAÇÃO DE PARALELISMO **************

Número de jobs: 4
Tipo de backend utilizado:  multiprocessing

******** CONFIGURAÇÃO DE PARALELISMO **************


# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.359        0.000      270.387     1195.309
       0.359        0.000      270.387     1195.309
       0.360        0.000      270.387     1195.309
       0.360        0.000      270.387     1195.309
       0.360        0.000      270.387     1195.309
       0.361        0.000      270.387     1195.309
       0.365        0.000      270.387     1195.309
       0.365        0.000      270.387     1195.309
       0.366        0.000      270.387     1195.309
       0.366        0.000      270.387     1195.309
       0.366        0.000      270.387     1195.309
       0.367        0.000      270.387     1195.309
       0.367        0.000      270.387     1195.309
       0.368        0.000      270.387     1195.309
       0.368        0.000      270.387     1195.309
       0.368        0.000      270.387     1195.309
       0.369        0.000      270.387     1195.309
       0.370        0.000      270.387     1195.309
       0.370        0.000      270.387     1195.309
       0.371        0.000      270.387     1195.309
       0.372        0.000      270.387     1195.309
       0.372        0.000      270.387     1195.309
       0.372        0.000      270.387     1195.309
       0.372        0.000      270.387     1195.309
       0.375        0.000      270.387     1195.309
       0.375        0.000      270.387     1195.309
       0.375        0.000      270.387     1195.309
       0.376        0.000      270.387     1195.309
       0.380        0.000      270.387     1195.309
       0.380        0.000      270.387     1195.309
       0.381        0.000      270.387     1195.309
       0.381        0.000      270.387     1195.309
       0.381        0.000      270.387     1195.309
       0.382        0.000      270.387     1195.309
       0.382        0.000      270.387     1195.309
       0.382        0.000      270.387     1195.309
       0.388        0.000      270.387     1195.309
       0.388        0.000      270.387     1195.309
       0.388        0.000      270.387     1195.309
       0.389        0.000      270.387     1195.309
       0.393        0.000      270.387     1195.309
       0.393        0.000      270.387     1195.309
       0.394        0.000      270.387     1195.309
       0.394        0.000      270.387     1195.309
       0.394        0.000      270.387     1195.309
       0.395        0.000      270.387     1195.309
       0.395        0.000      270.387     1195.309
       0.395        0.000      270.387     1195.309
       0.396        0.000      270.387     1195.309
       0.400        0.000      270.387     1195.309
       0.400        0.000      270.387     1195.309
       0.401        0.000      270.387     1195.309
       0.401        0.000      270.387     1195.309
       0.401        0.000      270.387     1195.309
       0.402        0.000      270.387     1195.309
       0.402        0.000      270.387     1195.309
       0.402        0.000      270.387     1195.309
       0.405        0.000      270.387     1195.309
       0.406        0.000      270.387     1195.309
       0.406        0.000      270.387     1195.309
       0.407        0.000      270.387     1195.309
       0.407        0.000      270.387     1195.309
       0.407        0.000      270.387     1195.309
       0.408        0.000      270.387     1195.309
       0.408        0.000      270.387     1195.309
       0.408        0.000      270.387     1195.309
       0.409        0.000      270.387     1195.309
       0.417        0.000      270.387     1195.309
       0.417        0.000      270.387     1195.309
       0.418        0.000      270.387     1195.309
       0.418        0.000      270.387     1195.309
       0.418        0.000      270.387     1195.309
       0.419        0.000      270.387     1195.309
       0.419        0.000      270.387     1195.309
       0.419        0.000      270.387     1195.309
       0.420        0.000      270.387     1195.309
       0.420        0.000      270.387     1195.309
       0.420        0.000      270.387     1195.309
       0.420        0.000      270.387     1195.309
       0.423        0.000      270.387     1195.309
       0.424        0.000      270.387     1195.309
       0.424        0.000      270.387     1195.309
       0.424        0.000      270.387     1195.309
       0.424        0.000      270.387     1195.309
       0.427        0.000      270.387     1195.309
       0.428        0.000      270.387     1195.309
       0.428        0.000      270.387     1195.309
       0.428        0.000      270.387     1195.309
       0.429        0.000      270.387     1195.309
       0.430        0.000      270.387     1195.309
       0.432        0.000      270.387     1195.309
       0.432        0.000      270.387     1195.309
       0.432        0.000      270.387     1195.309
       0.432        0.000      270.387     1195.309
       0.437        0.000      270.387     1195.309
       0.437        0.000      270.387     1195.309
       0.437        0.000      270.387     1195.309
       0.438        0.000      270.387     1195.309
       0.439        0.000      270.387     1195.309
       0.439        0.000      270.387     1195.309
       0.439        0.000      270.387     1195.309
       0.440        0.000      270.387     1195.309
       0.440        0.000      270.387     1195.309
       0.440        0.000      270.387     1195.309
       0.440        0.000      270.387     1195.309
       0.445        0.000      270.387     1195.309
       0.445        0.000      270.387     1195.309
       0.445        0.000      270.387     1195.309
       0.446        0.000      270.387     1195.309
       0.446        0.000      270.387     1195.309
       0.446        0.000      270.387     1195.309
       0.447        0.000      270.387     1195.309
       0.447        0.000      270.387     1195.309
       0.447        0.000      270.387     1195.309
       0.448        0.000      270.387     1195.309
       0.448        0.000      270.387     1195.309
       0.448        0.000      270.387     1195.309
